annotation,id,value2,value3,value,value4
Die Guthaben-Zinsen gelten bis zu einem Guthaben von 250.000 Euro. Den Preisaushang haben wir erhalten.,117,10.700,13.700,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,227,10.700,10.700,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",412,10.700,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,18,10.691,10.691,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,374,10.690,16.690,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,28,10.690,10.690,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,84,10.690,10.690,0.000,0.050
"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent.",188,10.690,10.690,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,189,10.690,10.690,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,204,10.680,14.180,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,217,10.680,10.680,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,312,10.680,10.680,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,396,10.680,10.680,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,47,10.675,14.675,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,49,10.670,10.670,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,93,10.670,10.670,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,141,10.650,16.650,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,1,10.650,10.650,0.000,0.150
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,19,10.650,10.650,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,35,10.650,10.650,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,256,10.650,10.650,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,283,10.650,10.650,0.000,0.015
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,56,10.630,14.630,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,71,10.630,10.630,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,2,10.620,13.120,0.000,0.030
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,37,10.620,10.620,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,410,10.600,15.850,0.000,0.015
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,97,10.600,10.600,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,263,10.590,15.590,0.000,0.050
