id,name,slug
306,Kreis- und Stadtsparkasse Wasserburg am Inn,kreis_und_stadtsparkasse_wasserburg_am_inn
167,Sparkasse Südwestpfalz,sparkasse_suedwestpfalz
67,Sparkasse Bodensee,sparkasse_bodensee
239,Sparkasse Märkisch-Oderland,sparkasse_maerkisch_oderland
291,Sparkasse Unstrut-Hainich,sparkasse_unstrut_hainich
414,Stadtsparkasse Borken,stadtsparkasse_borken
241,Sparkasse im Landkreis Cham,sparkasse_im_landkreis_cham
171,Kreissparkasse Schwalm-Eder,kreissparkasse_schwalm_eder
210,Sparkasse Günzburg-Krumbach,sparkasse_guenzburg_krumbach
268,Sparkasse Kleve,sparkasse_kleve
104,Sparkasse am Niederrhein,sparkasse_am_niederrhein
355,Sparkasse Sonneberg,sparkasse_sonneberg
78,Saalesparkasse,saalesparkasse
260,Kreissparkasse Altenkirchen,kreissparkasse_altenkirchen
244,Sparkasse Lünen,sparkasse_luenen
382,Sparkasse Wolfach,sparkasse_wolfach
366,Sparkasse Rothenburg,sparkasse_rothenburg
223,Sparkasse Weserbergland,sparkasse_weserbergland
398,Stadtsparkasse Barsinghausen,stadtsparkasse_barsinghausen
325,Kreissparkasse Döbeln,kreissparkasse_doebeln
177,Sparkasse Bad Hersfeld-Rotenburg,sparkasse_bad_hersfeld_rotenburg
23,Sparkasse Essen,sparkasse_essen
255,Kreissparkasse Bersenbrück,kreissparkasse_bersenbrueck
236,Sparkasse Soest,sparkasse_soest
160,Sparkasse Wetzlar,sparkasse_wetzlar
316,Sparkasse Neuburg-Rain,sparkasse_neuburg_rain
411,Stadtsparkasse Schwalmstadt,stadtsparkasse_schwalmstadt
359,Stadt- und Kreissparkasse Moosburg,stadt_und_kreissparkasse_moosburg
15,Kreissparkasse München Starnberg Ebersberg,kreissparkasse_muenchen_starnberg_ebersberg
324,Sparkasse Osterode am Harz,sparkasse_osterode_am_harz
46,Sparkasse Ulm,sparkasse_ulm
249,Sparkasse Oberpfalz Nord,sparkasse_oberpfalz_nord
157,Stadtsparkasse Magdeburg,stadtsparkasse_magdeburg
312,Stadtsparkasse Cuxhaven,stadtsparkasse_cuxhaven
58,Stadtsparkasse Mönchengladbach,stadtsparkasse_moenchengladbach
286,Sparkasse Pfaffenhofen,sparkasse_pfaffenhofen
388,Stadtsparkasse Burgdorf,stadtsparkasse_burgdorf
225,Vereinigte Sparkassen im Landkreis Weilheim,vereinigte_sparkassen_im_landkreis_weilheim
283,Sparkasse Ostunterfranken,sparkasse_ostunterfranken
248,Sparkasse Goslar/Harz,sparkasse_goslar_harz
334,Sparkasse Schopfheim-Zell,sparkasse_schopfheim_zell
287,Kreissparkasse Eichsfeld,kreissparkasse_eichsfeld
253,Kreis- und Stadtsparkasse Kaufbeuren,kreis_und_stadtsparkasse_kaufbeuren
234,Kreissparkasse Stade,kreissparkasse_stade
41,Sparkasse Osnabrück,sparkasse_osnabrueck
353,Sparkasse Parchim-Lübz,sparkasse_parchim_luebz
393,Sparkasse St. Blasien,sparkasse_st_blasien
68,Sparkasse Koblenz,sparkasse_koblenz
328,Kreissparkasse Höchstadt/Aisch,kreissparkasse_hoechstadt_aisch
317,Sparkasse Muldental,sparkasse_muldental
50,Kasseler Sparkasse,kasseler_sparkasse
350,Sparkasse Duderstadt,sparkasse_duderstadt
178,Sparkasse Amberg-Sulzbach,sparkasse_amberg_sulzbach
197,Herner Sparkasse,herner_sparkasse
119,Vereinigte Sparkassen Stadt- und Landkreis Ansbach,vereinigte_sparkassen_stadt_und_landkreis_ansbach
363,Städtische Sparkasse zu Schwelm,staedtische_sparkasse_zu_schwelm
226,Kreissparkasse Grafschaft Diepholz,kreissparkasse_grafschaft_diepholz
356,Sparkasse Emden,sparkasse_emden
380,Stadtsparkasse Porta Westfalica,stadtsparkasse_porta_westfalica
55,Kreissparkasse Ostalb,kreissparkasse_ostalb
81,Sparkasse Rhein-Nahe,sparkasse_rhein_nahe
232,Sparkasse Odenwaldkreis,sparkasse_odenwaldkreis
111,Kreissparkasse Heinsberg,kreissparkasse_heinsberg
228,Sparkasse Hanauerland,sparkasse_hanauerland
332,Kreissparkasse Vulkaneifel,kreissparkasse_vulkaneifel
193,Kreissparkasse Kelheim,kreissparkasse_kelheim
47,Stadtsparkasse Augsburg,stadtsparkasse_augsburg
254,Sparkasse Donnersberg,sparkasse_donnersberg
35,Kreissparkasse Biberach,kreissparkasse_biberach
358,Sparkasse Meschede,sparkasse_meschede
195,Kreissparkasse Freudenstadt,kreissparkasse_freudenstadt
30,Sparkasse Heidelberg,sparkasse_heidelberg
131,Sparkasse Passau,sparkasse_passau
354,Stadtsparkasse Wermelskirchen,stadtsparkasse_wermelskirchen
141,Kreissparkasse Verden,kreissparkasse_verden
235,Kreissparkasse Peine,kreissparkasse_peine
34,Förde Sparkasse,foerde_sparkasse
113,OstseeSparkasse Rostock,ostseesparkasse_rostock
22,Stadtsparkasse Dortmund,stadtsparkasse_dortmund
43,Sparkasse Duisburg,sparkasse_duisburg
245,Städtische Sparkasse Offenbach am Main,staedtische_sparkasse_offenbach_am_main
26,Sparkasse Mainfranken Würzburg,sparkasse_mainfranken_wuerzburg
206,Kreissparkasse Ahrweiler,kreissparkasse_ahrweiler
336,Kreissparkasse Schongau,kreissparkasse_schongau
263,Kreissparkasse Birkenfeld,kreissparkasse_birkenfeld
6,Sparkasse Hannover,sparkasse_hannover
53,Kreissparkasse Reutlingen,kreissparkasse_reutlingen
108,Sparkasse Gifhorn-Wolfsburg,sparkasse_gifhorn_wolfsburg
272,Sparkasse Gummersbach-Bergneustadt,sparkasse_gummersbach_bergneustadt
139,Sparkasse LeerWittmund,sparkasse_leerwittmund
345,Sparkasse Ennepetal-Breckerfeld,sparkasse_ennepetal_breckerfeld
125,Sparkasse Singen-Radolfzell,sparkasse_singen_radolfzell
407,Sparkasse Geseke,sparkasse_geseke
361,Sparkasse Radevormwald-Hückeswagen,sparkasse_radevormwald_hueckeswagen
198,Kreissparkasse Anhalt-Bitterfeld,kreissparkasse_anhalt_bitterfeld
413,Sparkasse Battenberg,sparkasse_battenberg
102,Sparkasse Emsland,sparkasse_emsland
318,Sparkasse Uckermark,sparkasse_uckermark
164,Sparkasse Waldeck-Frankenberg,sparkasse_waldeck_frankenberg
169,Sparkasse Neuwied,sparkasse_neuwied
32,Sparkasse Saarbrücken,sparkasse_saarbruecken
155,Sparkasse Bayreuth,sparkasse_bayreuth
189,Sparkasse Gütersloh,sparkasse_guetersloh
295,Kreissparkasse Soltau,kreissparkasse_soltau
74,Sparkasse Chemnitz,sparkasse_chemnitz
135,Sparkasse Lüneburg,sparkasse_lueneburg
207,Sparkasse Hamm,sparkasse_hamm
337,Stadtsparkasse Dessau,stadtsparkasse_dessau
42,Sparkasse Bielefeld,sparkasse_bielefeld
19,Landessparkasse zu Oldenburg,landessparkasse_zu_oldenburg
110,Kreissparkasse Mittelsachsen,kreissparkasse_mittelsachsen
128,Sparkasse Zwickau,sparkasse_zwickau
397,Sparkasse Grünberg,sparkasse_gruenberg
227,Kreissparkasse Börde,kreissparkasse_boerde
202,Sparkasse Werra-Meißner,sparkasse_werra_meissner
262,Stadtsparkasse Rheine,stadtsparkasse_rheine
72,Sparkasse Regensburg,sparkasse_regensburg
92,Kreissparkasse Steinfurt,kreissparkasse_steinfurt
418,Sparkasse Unna,sparkasse_unna
415,Stadtsparkasse Felsberg,stadtsparkasse_felsberg
138,Sparkasse Schaumburg,sparkasse_schaumburg
4,Frankfurter Sparkasse,frankfurter_sparkasse
27,Kreissparkasse Waiblingen,kreissparkasse_waiblingen
307,Sparkasse Wilhelmshaven,sparkasse_wilhelmshaven
161,Sparkasse Neckartal-Odenwald,sparkasse_neckartal_odenwald
48,Sparkasse Südholstein,sparkasse_suedholstein
159,Sparkasse Burgenlandkreis,sparkasse_burgenlandkreis
201,Sparkasse Germersheim-Kandel,sparkasse_germersheim_kandel
402,Stadtsparkasse Delbrück,stadtsparkasse_delbrueck
211,Sparkasse Nienburg,sparkasse_nienburg
205,Sparkasse Rottal-Inn,sparkasse_rottal_inn
346,Stadt-Sparkasse Haan,stadt_sparkasse_haan
256,Sparkasse Lippstadt,sparkasse_lippstadt
308,Sparkasse Altmark West,sparkasse_altmark_west
277,Kreissparkasse Gelnhausen,kreissparkasse_gelnhausen
292,Kreissparkasse Gotha,kreissparkasse_gotha
323,Stadtsparkasse Emmerich-Rees,stadtsparkasse_emmerich_rees
142,Sparkasse Schweinfurt,sparkasse_schweinfurt
145,Sparkasse Altötting-Mühldorf,sparkasse_altoetting_muehldorf
124,Kreissparkasse Groß-Gerau,kreissparkasse_gross_gerau
391,Stadtsparkasse Völklingen,stadtsparkasse_voelklingen
184,Sparkasse Mecklenburg-Schwerin,sparkasse_mecklenburg_schwerin
231,Wartburg-Sparkasse,wartburg_sparkasse
