value2,value4,value3,value,id,annotation
10.690,0.010,0.000,16.690,374,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.690,0.050,0.000,10.690,28,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.690,0.050,0.000,10.690,84,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.690,0.050,0.000,10.690,188,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent."
10.690,0.050,0.000,10.690,189,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.691,0.010,0.000,10.691,18,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.700,0.050,0.000,13.700,117,Die Guthaben-Zinsen gelten bis zu einem Guthaben von 250.000 Euro. Den Preisaushang haben wir erhalten.
10.700,0.050,0.000,10.700,227,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.700,0.150,0.000,15.700,246,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.700,,,,412,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
10.710,0.010,0.000,13.960,313,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.710,0.050,0.000,10.710,22,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.750,0.050,0.000,15.250,500,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.750,0.050,0.000,10.750,20,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.770,0.010,0.000,10.770,48,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.780,0.050,0.000,15.280,134,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.800,0.010,0.000,10.800,139,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.800,0.100,0.000,10.800,259,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.810,0.050,0.000,10.810,3,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.810,0.050,0.000,10.810,29,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.820,0.010,0.000,10.820,65,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.830,0.050,0.000,15.830,502,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.840,0.050,0.000,10.840,198,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.850,0.020,0.000,13.600,160,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.850,0.050,0.000,16.350,123,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.850,0.050,0.000,16.350,226,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.860,0.010,0.000,11.990,163,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.870,0.010,0.000,14.870,212,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.890,0.010,0.000,15.890,239,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.890,0.010,0.000,10.890,5,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.890,0.050,0.000,16.390,92,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,0.010,0.000,10.900,337,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,0.010,0.000,10.900,381,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,0.025,0.000,15.900,114,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,0.050,0.000,14.900,358,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,0.050,0.000,10.900,41,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,0.050,0.000,10.900,356,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.900,,,,304,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
10.900,,,,360,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
10.920,0.010,0.000,15.420,12,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.920,0.050,0.000,10.920,85,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.940,0.010,0.000,10.940,338,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.950,0.010,0.000,16.450,131,Die Guthaben-Zinsen gelten ab einem Guthaben von 2.000 Euro. Den Preisaushang haben wir erhalten.
10.950,0.010,0.000,10.950,330,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.950,0.050,0.000,15.070,32,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.950,0.050,0.000,10.950,144,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.950,0.100,0.000,10.950,369,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.960,0.010,0.000,15.610,155,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.960,0.010,0.000,10.960,154,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.970,,,,254,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
10.980,0.010,0.000,15.980,270,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.990,0.050,0.000,10.990,158,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.990,,,,127,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
10.999,0.050,0.000,10.999,365,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.010,0.000,11.000,116,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.000,0.015,0.000,15.500,309,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
