id,value2,value3,value4,value,annotation
344,10.57,14.57,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
263,10.59,15.59,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
182,10.59,10.59,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
97,10.6,10.6,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
410,10.6,15.85,0,0.015,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
2,10.62,13.12,0,0.03,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
37,10.62,10.62,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
56,10.63,14.63,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
71,10.63,10.63,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
19,10.65,10.65,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
283,10.65,10.65,0,0.015,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
141,10.65,16.65,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
256,10.65,10.65,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
35,10.65,10.65,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
1,10.65,10.65,0,0.15,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
49,10.67,10.67,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
93,10.67,10.67,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
47,10.675,14.675,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
204,10.68,14.18,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
396,10.68,10.68,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
217,10.68,10.68,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
312,10.68,10.68,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
374,10.69,16.69,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
28,10.69,10.69,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
84,10.69,10.69,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
188,10.69,10.69,0,0.05,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent."
189,10.69,10.69,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
18,10.691,10.691,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
117,10.7,13.7,0,0.05,Die Guthaben-Zinsen gelten bis zu einem Guthaben von 250.000 Euro. Den Preisaushang haben wir erhalten.
227,10.7,10.7,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
246,10.7,15.7,0,0.15,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
412,10.7,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
313,10.71,13.96,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
22,10.71,10.71,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
500,10.75,15.25,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
20,10.75,10.75,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
48,10.77,10.77,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
134,10.78,15.28,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
139,10.8,10.8,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
259,10.8,10.8,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
3,10.81,10.81,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
29,10.81,10.81,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
65,10.82,10.82,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
502,10.83,15.83,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
198,10.84,10.84,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
160,10.85,13.6,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
123,10.85,16.35,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
226,10.85,16.35,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
